Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,SIGNED,SIGNED,SIGNED
0,0,0,0,145,2839,108
1,1,0,0,145,2839,108
2,2,0,0,145,2839,108
3,3,0,0,145,2839,108
4,4,0,0,145,2839,108
5,5,0,0,145,2839,108
6,6,0,0,145,2839,108
7,7,0,0,145,2839,108
8,8,0,0,145,2839,108
9,9,0,0,145,2839,108
10,10,0,0,145,2839,108
11,11,0,0,145,2839,108
12,12,0,0,145,2839,108
13,13,0,0,145,2839,108
14,14,0,0,145,2839,108
15,15,0,0,145,2839,108
16,16,0,0,145,2839,108
17,17,0,0,145,2839,108
18,18,0,0,145,2839,108
19,19,0,0,145,2839,108
20,20,0,0,145,2839,108
21,21,0,0,145,2839,108
22,22,0,0,145,2839,108
23,23,0,0,145,2839,108
24,24,0,0,145,2839,108
25,25,0,0,145,2839,108
26,26,0,0,145,2839,108
27,27,0,0,145,2839,108
28,28,0,0,145,2839,108
29,29,0,0,145,2839,108
30,30,0,0,145,2839,108
31,31,0,0,145,2839,108
32,32,0,0,145,2839,108
33,33,0,0,145,2839,108
34,34,0,0,145,2839,108
35,35,0,0,145,2839,108
36,36,0,0,145,2839,108
37,37,0,0,145,2839,108
38,38,0,0,145,2839,108
39,39,0,0,145,2839,108
40,40,0,0,145,2839,108
41,41,0,0,145,2839,108
42,42,0,0,145,2839,108
43,43,0,0,145,2839,108
44,44,0,0,145,2839,108
45,45,0,0,145,2839,108
46,46,0,0,145,2839,108
47,47,0,0,145,2839,108
48,48,0,0,145,2839,108
49,49,0,0,145,2839,108
50,50,0,0,145,2839,108
51,51,0,0,145,2839,108
52,52,0,0,145,2839,108
53,53,0,0,145,2839,108
54,54,0,0,145,2839,108
55,55,0,0,145,2839,108
56,56,0,0,145,2839,108
57,57,0,0,145,2839,108
58,58,0,0,145,2839,108
59,59,0,0,145,2839,108
60,60,0,0,145,2839,108
61,61,0,0,145,2839,108
62,62,0,0,145,2839,108
63,63,0,0,145,2839,108
64,64,0,0,145,2839,108
65,65,0,0,145,2839,108
66,66,0,0,145,2839,108
67,67,0,0,145,2839,108
68,68,0,0,145,2839,108
69,69,0,0,145,2839,108
70,70,0,0,145,2839,108
71,71,0,0,145,2839,108
72,72,0,0,145,2839,108
73,73,0,0,145,2839,108
74,74,0,0,145,2839,108
75,75,0,0,145,2839,108
76,76,0,0,145,2839,108
77,77,0,0,145,2839,108
78,78,0,0,145,2839,108
79,79,0,0,145,2839,108
80,80,0,0,145,2839,108
81,81,0,0,145,2839,108
82,82,0,0,145,2839,108
83,83,0,0,145,2839,108
84,84,0,0,145,2839,108
85,85,0,0,145,2839,108
86,86,0,0,145,2839,108
87,87,0,0,145,2839,108
88,88,0,0,145,2839,108
89,89,0,0,145,2839,108
90,90,0,0,145,2839,108
91,91,0,0,145,2839,108
92,92,0,0,145,2839,108
93,93,0,0,145,2839,108
94,94,0,0,145,2839,108
95,95,0,0,145,2839,108
96,96,0,0,145,2839,108
97,97,0,0,145,2839,108
98,98,0,0,145,2839,108
99,99,0,0,145,2839,108
100,100,0,0,145,2839,108
101,101,0,0,145,2839,108
102,102,0,0,145,2839,108
103,103,0,0,145,2839,108
104,104,0,0,145,2839,108
105,105,0,0,145,2839,108
106,106,0,0,145,2839,108
107,107,0,0,145,2839,108
108,108,0,0,145,2839,108
109,109,0,0,145,2839,108
110,110,0,0,145,2839,108
111,111,0,0,145,2839,108
112,112,0,0,145,2839,108
113,113,0,0,145,2839,108
114,114,0,0,145,2839,108
115,115,0,0,145,2839,108
116,116,0,0,145,2839,108
117,117,0,0,145,2839,108
118,118,0,0,145,2839,108
119,119,0,0,145,2839,108
120,120,0,0,145,2839,108
121,121,0,0,145,2839,108
122,122,0,0,145,2839,108
123,123,0,0,145,2839,108
124,124,0,0,145,2839,108
125,125,0,0,145,2839,108
126,126,0,0,145,2839,108
127,127,0,0,145,2839,108
128,128,0,0,145,2839,108
129,129,0,0,145,2839,108
130,130,0,0,145,2839,108
131,131,0,0,145,2839,108
132,132,0,0,145,2839,108
133,133,0,0,145,2839,108
134,134,0,0,145,2839,108
135,135,0,0,145,2839,108
136,136,0,0,145,2839,108
137,137,0,0,145,2839,108
138,138,0,0,145,2839,108
139,139,0,0,145,2839,108
140,140,0,0,145,2839,108
141,141,0,0,145,2839,108
142,142,0,0,145,2839,108
143,143,0,0,145,2839,108
144,144,0,0,145,2839,108
145,145,0,0,145,2839,108
146,146,0,0,145,2839,108
147,147,0,0,145,2839,108
148,148,0,0,145,2839,108
149,149,0,0,145,2839,108
150,150,0,0,145,2839,108
151,151,0,0,145,2839,108
152,152,0,0,145,2839,108
153,153,0,0,145,2839,108
154,154,0,0,145,2839,108
155,155,0,0,145,2839,108
156,156,0,0,145,2839,108
157,157,0,0,145,2839,108
158,158,0,0,145,2839,108
159,159,0,0,145,2839,108
160,160,0,0,145,2839,108
161,161,0,0,145,2839,108
162,162,0,0,145,2839,108
163,163,0,0,145,2839,108
164,164,0,0,145,2839,108
165,165,0,0,145,2839,108
166,166,0,0,145,2839,108
167,167,0,0,145,2839,108
168,168,0,0,145,2839,108
169,169,0,0,145,2839,108
170,170,0,0,145,2839,108
171,171,0,0,145,2839,108
172,172,0,0,145,2839,108
173,173,0,0,145,2839,108
174,174,0,0,145,2839,108
175,175,0,0,145,2839,108
176,176,0,0,145,2839,108
177,177,0,0,145,2839,108
178,178,0,0,145,2839,108
179,179,0,0,145,2839,108
180,180,0,0,145,2839,108
181,181,0,0,145,2839,108
182,182,0,0,145,2839,108
183,183,0,0,145,2839,108
184,184,0,0,145,2839,108
185,185,0,0,145,2839,108
186,186,0,0,145,2839,108
187,187,0,0,145,2839,108
188,188,0,0,145,2839,108
189,189,0,0,145,2839,108
190,190,0,0,145,2839,108
191,191,0,0,145,2839,108
192,192,0,0,145,2839,108
193,193,0,0,145,2839,108
194,194,0,0,145,2839,108
195,195,0,0,145,2839,108
196,196,0,0,145,2839,108
197,197,0,0,145,2839,108
198,198,0,0,145,2839,108
199,199,0,0,145,2839,108
200,200,0,0,145,2839,108
201,201,0,0,145,2839,108
202,202,0,0,145,2839,108
203,203,0,0,145,2839,108
204,204,0,0,145,2839,108
205,205,0,0,145,2839,108
206,206,0,0,145,2839,108
207,207,0,0,145,2839,108
208,208,0,0,145,2839,108
209,209,0,0,145,2839,108
210,210,0,0,145,2839,108
211,211,0,0,145,2839,108
212,212,0,0,145,2839,108
213,213,0,0,145,2839,108
214,214,0,0,145,2839,108
215,215,0,0,145,2839,108
216,216,0,0,145,2839,108
217,217,0,0,145,2839,108
218,218,0,0,145,2839,108
219,219,0,0,145,2839,108
220,220,0,0,145,2839,108
221,221,0,0,145,2839,108
222,222,0,0,145,2839,108
223,223,0,0,145,2839,108
224,224,0,0,145,2839,108
225,225,0,0,145,2839,108
226,226,0,0,145,2839,108
227,227,0,0,145,2839,108
228,228,0,0,145,2839,108
229,229,0,0,145,2839,108
230,230,0,0,145,2839,108
231,231,0,0,145,2839,108
232,232,0,0,145,2839,108
233,233,0,0,145,2839,108
234,234,0,0,145,2839,108
235,235,0,0,145,2839,108
236,236,0,0,145,2839,108
237,237,0,0,145,2839,108
238,238,0,0,145,2839,108
239,239,0,0,145,2839,108
240,240,0,0,145,2839,108
241,241,0,0,145,2839,108
242,242,0,0,145,2839,108
243,243,0,0,145,2839,108
244,244,0,0,145,2839,108
245,245,0,0,145,2839,108
246,246,0,0,145,2839,108
247,247,0,0,145,2839,108
248,248,0,0,145,2839,108
249,249,0,0,145,2839,108
250,250,0,0,145,2839,108
251,251,0,0,145,2839,108
252,252,0,0,145,2839,108
253,253,0,0,145,2839,108
254,254,0,0,145,2839,108
255,255,0,0,145,2839,108
256,256,0,0,145,2839,108
257,257,0,0,145,2839,108
258,258,0,0,145,2839,108
259,259,0,0,145,2839,108
260,260,0,0,145,2839,108
261,261,0,0,145,2839,108
262,262,0,0,145,2839,108
263,263,0,0,145,2839,108
264,264,0,0,145,2839,108
265,265,0,0,145,2839,108
266,266,0,0,145,2839,108
267,267,0,0,145,2839,108
268,268,0,0,145,2839,108
269,269,0,0,145,2839,108
270,270,0,0,145,2839,108
271,271,0,0,145,2839,108
272,272,0,0,145,2839,108
273,273,0,0,145,2839,108
274,274,0,0,145,2839,108
275,275,0,0,145,2839,108
276,276,0,0,145,2839,108
277,277,0,0,145,2839,108
278,278,0,0,145,2839,108
279,279,0,0,145,2839,108
280,280,0,0,145,2839,108
281,281,0,0,145,2839,108
282,282,0,0,145,2839,108
283,283,0,0,145,2839,108
284,284,0,0,145,2839,108
285,285,0,0,145,2839,108
286,286,0,0,145,2839,108
287,287,0,0,145,2839,108
288,288,0,0,145,2839,108
289,289,0,0,145,2839,108
290,290,0,0,145,2839,108
291,291,0,0,145,2839,108
292,292,0,0,145,2839,108
293,293,0,0,145,2839,108
294,294,0,0,145,2839,108
295,295,0,0,145,2839,108
296,296,0,0,145,2839,108
297,297,0,0,145,2839,108
298,298,0,0,145,2839,108
299,299,0,0,145,2839,108
300,300,0,0,145,2839,108
301,301,0,0,145,2839,108
302,302,0,0,145,2839,108
303,303,0,0,145,2839,108
304,304,0,0,145,2839,108
305,305,0,0,145,2839,108
306,306,0,0,145,2839,108
307,307,0,0,145,2839,108
308,308,0,0,145,2839,108
