Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,0,386,0,33
1,1,0,0,386,0,33
2,2,0,0,386,0,33
3,3,0,0,386,0,33
4,4,0,0,386,0,33
5,5,0,0,386,0,33
6,6,0,0,386,0,33
7,7,0,0,386,0,33
8,8,0,0,386,0,33
9,9,0,0,386,0,33
10,10,0,0,386,0,33
11,11,0,0,386,0,33
12,12,0,0,386,0,33
13,13,0,0,386,0,33
14,14,0,0,386,0,33
15,15,0,0,386,0,33
16,16,0,0,386,0,33
17,17,0,0,386,0,33
18,18,0,0,386,0,33
19,19,0,0,386,0,33
20,20,0,0,386,0,33
21,21,0,0,225,0,33
22,22,0,0,225,0,33
23,23,0,0,225,0,33
24,24,0,0,225,0,33
25,25,0,0,225,0,33
26,26,0,0,225,0,33
27,27,0,0,225,0,33
28,28,0,0,225,0,33
29,29,0,0,225,0,33
30,30,0,0,225,0,33
31,31,0,0,225,0,33
32,32,0,0,225,0,33
33,33,0,0,225,0,33
34,34,0,0,225,0,33
35,35,0,0,225,0,33
36,36,0,0,225,0,33
37,37,0,0,225,0,33
38,38,0,0,225,0,33
39,39,0,0,225,0,33
40,40,0,0,225,0,33
41,41,0,0,225,0,33
42,42,0,0,225,0,33
43,43,0,0,225,0,33
44,44,0,0,225,0,33
45,45,0,0,225,0,33
46,46,0,0,225,0,33
47,47,0,0,225,0,33
48,48,0,0,225,0,33
49,49,0,0,225,0,33
50,50,0,0,225,0,33
51,51,0,0,225,0,33
52,52,0,0,225,0,33
53,53,0,0,225,0,33
54,54,0,0,225,0,33
55,55,0,0,225,0,33
56,56,0,0,225,0,33
57,57,0,0,225,0,33
58,58,0,0,225,0,33
59,59,0,0,225,0,33
60,60,0,0,225,0,33
61,61,0,0,225,0,33
62,62,0,0,225,0,33
63,63,0,0,225,0,33
64,64,0,0,225,0,33
65,65,0,0,225,0,33
66,66,0,0,225,0,33
67,67,0,0,225,0,33
68,68,0,0,225,0,33
69,69,0,0,225,0,33
70,70,0,0,225,0,33
