Sample in Buffer,Sample in Window,TRIGGER,dut/design_1_i/Vac_debug_valid,dut/design_1_i/isen_debug_decimal_out[15:0],dut/design_1_i/Vbus_debug_decimal_out[15:0],dut/design_1_i/Vac_debug_decimal_out[15:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,UNSIGNED,UNSIGNED
0,0,0,0,32,24,60
1,1,0,0,32,24,60
2,2,0,0,32,24,60
3,3,0,0,32,24,60
4,4,0,0,32,24,60
5,5,0,0,32,24,60
6,6,0,0,32,24,60
7,7,0,0,32,24,60
8,8,0,0,32,24,60
9,9,0,0,32,24,60
10,10,0,0,32,24,60
11,11,0,0,32,24,60
12,12,0,0,32,24,60
13,13,0,0,32,24,60
14,14,0,0,32,24,60
15,15,0,0,32,24,60
16,16,0,0,32,24,60
17,17,0,0,32,24,60
18,18,0,0,32,24,60
19,19,0,0,32,24,60
20,20,0,0,145,24,60
21,21,0,0,145,24,60
22,22,0,0,145,24,60
23,23,0,0,145,24,60
24,24,0,0,145,24,60
25,25,0,0,145,24,60
26,26,0,0,145,24,60
27,27,0,0,145,24,60
28,28,0,0,145,24,60
29,29,0,0,145,24,60
30,30,0,0,145,24,60
31,31,0,0,145,24,60
32,32,0,0,145,24,60
33,33,0,0,145,24,60
34,34,0,0,145,24,60
35,35,0,0,145,24,60
36,36,0,0,145,24,60
37,37,0,0,145,24,60
38,38,0,0,145,24,60
39,39,0,0,145,24,60
40,40,0,0,145,24,60
41,41,0,0,145,24,60
42,42,0,0,145,24,60
43,43,0,0,145,24,60
44,44,0,0,145,24,60
45,45,0,0,145,24,60
46,46,0,0,145,24,60
47,47,0,0,145,24,60
48,48,0,0,145,24,60
49,49,0,0,145,24,60
50,50,0,0,145,24,60
51,51,0,0,145,24,60
52,52,0,0,145,24,60
53,53,0,0,145,24,60
54,54,0,0,145,24,60
55,55,0,0,145,24,60
56,56,0,0,145,24,60
57,57,0,0,145,24,60
58,58,0,0,145,24,60
59,59,0,0,145,24,60
60,60,0,0,145,24,60
61,61,0,0,145,24,60
62,62,0,0,145,24,60
63,63,0,0,145,24,60
64,64,0,0,145,24,60
65,65,0,0,145,24,60
66,66,0,0,145,24,60
67,67,0,0,145,24,60
68,68,0,0,145,24,60
69,69,0,0,145,24,60
70,70,0,0,145,24,60
71,71,0,0,145,24,60
72,72,0,0,145,24,60
73,73,0,0,145,24,60
74,74,0,0,145,24,60
75,75,0,0,145,24,60
76,76,0,0,145,24,60
77,77,0,0,145,24,60
78,78,0,0,145,24,60
79,79,0,0,145,24,60
80,80,0,0,145,24,60
81,81,0,0,145,24,60
82,82,0,0,145,24,60
83,83,0,0,145,24,60
84,84,0,0,145,24,60
